ID,text,target,stance,stance:confidence,against_reason,favor_reason,none_reason,sarcasm,sarcasm:confidence,sentiment,sentiment:confidence,datetime,Date
3, روح حلل محد يم تطعيم كورونا شف الحرم البارح مليونين بدون شرط تحصين😅,Covid Vaccine,None,0.4003,,,Not clear,Yes,0.599,Neutral,0.618,2022-04-28 11:12:56+00:00,28/04/2022
6,#LEAP22  مؤتمر يجمع اشهر وابرز المؤثرين في المجال التقني  ومن خلاله السعودية تستعرض قدرتها في التحول الرقمي اللي تشهدها كافة قطاعاتها 👌🏼 URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.7531,2022-02-02 18:24:09+00:00,02/02/2022
7,خصوصية البيانات وحمايتها في المنظمة مطلب ولكن لا ينبغي أن تكون ذريعة لسد الطريق امام التحول التقني لأننا نجهل كيف نحمي بياناتنا في هذا الفضاء التقني. بل أن عملية التحول الرقمي ليست خيارًا نقبله أو نرفضه ونحن قطاع يتسم بالشفافية والمشاركة مع المجتمع وأصحاب المصلحة.,Digital Transformation,Favor,0.7559,,F_Explicit,,No,1.0,Neutral,0.8116,2022-03-27 10:36:04+00:00,27/03/2022
10,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Digital Transformation,Favor,1.0,,F_Explicit,,No,0.8808,Negative,0.645,2021-05-02 00:32:17+00:00,02/05/2021
11,MENTION MENTION MENTION وش فائدة اللقاح بما انه تم تطعيم  ٥٠ بالميه من السكان والاصابات كل يوم تزيد  وش الفايده ؟؟؟  يقول مايمنع الاصابه لكن يخففها  كورونا في الاصل الشفاء منها وصل ٩٩ بالميه  يعني اللقاح يعطينا ١٠٠ بالميه ؟؟  كلنا نسمع ونعرف ناس انصابوا وهم اخذين اللقاح ونقلوا العدوى لمجموعه,Covid Vaccine,Against,0.8233,A_Explicit,,,No,1.0,Negative,1.0,2021-06-17 12:43:40+00:00,17/06/2021
12,من يتمعن فيما يجري اليوم في الأوساط العلمية البحثية على جميع الأصعدة من اهتمام مستميت بالتحول من الواقع إلى الافتراض -التحول الرقمي الإلكتروني- وإحلال الآلات وتقنيات الذكاء الصناعي  سيعلم ما هو كورونا  ولماذا تم غلق العالم انتقائياً  وتعطيل الاقتصاد..الخ   URL,Digital Transformation,Against,0.6966,A_Explicit,,,No,1.0,Negative,0.4731,2021-03-01 19:21:57+00:00,01/03/2021
13,"واختتم د. أحمد بن حماد الكلباني عميد أكاديمية الامن الالكتروني المتقدم ورقة عمل ""الابتكار في تعزيز الجاهزية للأمن الالكتروني"" تناولت الورقة طرق تسريع وتيرة التحول الرقمي الاقتصاد مع اعتماد تكنولوجيا المعلومات والاتصالات الرائدة التقنيات URL",Digital Transformation,Favor,0.7303,,F_Explicit,,No,1.0,Neutral,0.7771,2022-03-30 10:27:31+00:00,30/03/2022
15,تم تطعيم الجرعة الاولى من لقاح pfizer اليوم . شكراً على جهودكم بالتوعية و الله يكثر من امثالكم و يعطيكم العافية .    ,Covid Vaccine,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-06-23 05:47:24+00:00,23/06/2021
18,كل ما افتكر إني مضطرة اخد تطعيم كورونا تاني قلبي يتقبض,Covid Vaccine,Against,0.7526,A_Explicit,,,No,1.0,Negative,0.8574,2022-05-02 20:48:10+00:00,02/05/2022
19,كفل النظام الاساسي حق التقاضي لكافة من يعيش على هذه الارض الطيبة. وعلى نهج التحول الالكتروني في السلطنة تم إطلاق منصة الكترونية خاصة بالمحاكم بغرض تسهيل اجراءات التقاضي. ولكن ننصدم بالصعوبات اليومية المتكررة في المنصة  فأصبح هذا النظام الالكتروني عائقا يحول دون هذا الحق الدستوري.,Digital Transformation,Against,0.8258,A_Explicit,,,No,1.0,Negative,0.5509,2020-11-18 13:50:23+00:00,18/11/2020
20,#السديس يؤكد تفعيل التحول الإلكتروني في جميع تعاملات الرئاسة URL,Digital Transformation,None,0.5279,,,Not clear,No,1.0,Neutral,1.0,2020-04-11 21:59:14+00:00,11/04/2020
21,باعتقادك هل تؤثر الإمبريالية في عملية إحلال الإجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل مأموري سعادة المتعاملين؟ و هل التحول الالكتروني أسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الأداء دور رقابي على الخدمة نفسها أم مقدميها؟,Digital Transformation,None,1.0,,,Not clear,No,1.0,Neutral,1.0,2021-04-06 10:02:18+00:00,06/04/2021
23, يامستشارين الصحه : اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيق,Covid Vaccine,Against,0.7252,A_Explicit,,,No,1.0,Negative,0.6281,2021-03-27 03:41:42+00:00,27/03/2021
24,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه تنورون,Covid Vaccine,Against,0.8527,A_Explicit,,,No,1.0,Negative,0.5804,2021-03-27 22:19:01+00:00,27/03/2021
25,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,0.5904,2021-03-27 22:21:16+00:00,27/03/2021
26,    كلامك غير صحيح   وهناك أجانب يستلمون ٥٠ و ١٠٠ ألف في الشهر ! وهذا تخصصه مطلوب ومهم في القطاع العام والخاص خصوصاً مع التحول للتعامل الالكتروني  أنا أتعجب اذا هذا ما لقى وظيفة أجل وشلون حال أصحاب أهل الاخصصات النظر,Digital Transformation,None,0.583,,,Not clear,No,1.0,Neutral,0.566,2020-08-21 01:52:58+00:00,21/08/2020
28,#افضل_الممارسات_في_التعلم_الالكتروني استراتيجيات التدريس في #التعليم_الالكتروني  الطريقة التي يمكن ان نقدم البرامج التعليمية للطلاب في أي وقت و أي مكان باستخدام تقنية المعلومات والاتصالات التفاعلية  #تقنيات_التعليم #التعلم_عن_بعد #حول_عالتقنية  #التحول_الرقمي URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.5934,2020-03-25 23:36:13+00:00,25/03/2020
29,  و كذلك التحول الالكتروني و الاستعداد له   قلة المصروفات التي تقع على كاهل كل منا حيث التسوق اليومي   اكتشاف المواهب و الهوايات و غير ذلك,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.4684,2020-03-30 18:41:39+00:00,30/03/2020
31, التحول الالكتروني للمعاملات الحكومية يحتاج الى تجهيز كامل للعناصر اللوجستية .. هيئة بريد فعّالة  قرارات جريئة للتخلص من الاكشاك والطباعين  تفعيل العناوين المطابقة للسكن الفعلي على البطاقات المدنية  الخ. ولنا في مملكة البحرين خير مثل للتحول ا,Digital Transformation,Favor,0.622,,F_Explicit,,No,1.0,Neutral,0.628,2020-05-19 07:57:22+00:00,19/05/2020
33, نررررفض تطعيم بناتنا ياوزارة الصحه.. كفايه اجبرتونا على لقاح كورونا وصدقناكم,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2022-05-19 10:11:28+00:00,19/05/2022
35,وأخيرًا خذت الجرعة التنشيطية .. الحمدلله 🙏🏼,Covid Vaccine,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-08-07 07:53:10+00:00,07/08/2021
37, تطلبون التحول الالكتروني  هذا هو,Digital Transformation,None,0.6138,,,Not clear,No,1.0,Neutral,1.0,2022-01-20 07:36:55+00:00,20/01/2022
39, التحول الالكتروني وفر وقت وجهد وكل شيء ❤️,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-11-09 09:28:01+00:00,09/11/2021
43, 62 مليون كتاب !! اين التحول الالكتروني للمناهج ؟ كمية هدر سنوي للكتب مؤسفة نتمنى احلال الاجهزة اللوحية بدلاً من الكتب,Digital Transformation,Favor,0.8067,,F_Explicit,,No,1.0,Negative,1.0,2020-12-22 11:52:04+00:00,22/12/2020
44,  مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله يارب🤝,Covid Vaccine,None,0.7334,,,Not clear,No,0.8148,Neutral,0.5927,2022-04-18 00:00:34+00:00,18/04/2022
46,أعلنت وزارة التجارة والصناعة وترويج الاستثمار عن إلزام 8 أنشطة تجارية بتوفير خدمة الدفع الإلكتروني للمستهلكين  سعيًا لتحقيق التحول الرقمي في السلطنة تماشيًا مع رؤية عمان 2040. URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.6393,2021-07-26 13:14:04+00:00,26/07/2021
47,🇴🇲 تبدأ سلطنة #عُمان مطلع العام المقبل بإذن الله تطبيق قرار إلزامية الدفع الإلكتروني لجميع الأنشطة التجارية في خطوة مهمة نحو التحول الرقمي الشامل..  URL,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,0.5336,2021-11-29 13:50:00+00:00,29/11/2021
50,ما هذا  الإصرار على إعطاء تطعيمات غير آمنه ليس هناك ضمان من خلالها ،!! توجه غريب من قبل بعض الجهات الحكومية والخاصة لفرض التطعيم !! كثير من الناس مطبقين الشروط الصحية ولا يحتاجون هالفرض! هناك دستور وقانون كفل لنا الإختيار !  #تطعيم_كورونا #الكويت #وزارة_الصحة,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2021-04-25 23:23:15+00:00,25/04/2021
52,"أبلغت الدنمارك عن أكثر من 5 آلاف إصابة جديدة بفايروس كورونا رغم تطعيم 87% من السكان ""بشكل كامل""",Covid Vaccine,Against,0.7364,A_Explicit,,,No,1.0,Neutral,0.5095,2021-12-01 22:20:36+00:00,01/12/2021
53,في ظل انتشار #كورونا حاليا الفرصة ذهبية للعمل بجدية على إلغاء المعاملات الورقية والمعاملات التي تتطلب وجود الأشخاص المطلوبين في أماكن معينة لاجراءها وذلك عن طريق التحول الالكتروني والتحول لبيئة يمكن فيها العمل عن بعد لأكبر عدد من الموظفين,Digital Transformation,Favor,0.8418,,F_Explicit,,No,1.0,Positive,0.873,2020-03-14 18:18:21+00:00,14/03/2020
57,كما بدأت جامعة طرابلس شراكة مع منصة Coursera  وأطلقت كلية تقنية المعلومات منصة إلكترونية لطلبتها.   لكن تظل مشاكل الكهرباء والإنترنت من أبرز التحديات التي تواجه التحول لهذا الاتجاه!  - شاركنا برأيك حول مستقبل التعليم الإلكتروني في ليبيا.,Digital Transformation,None,0.614,,,Not clear,No,1.0,Neutral,0.6596,2020-11-02 20:48:24+00:00,02/11/2020
61,MENTION يقولك تنشيطية ثالثة كافية  وبعد سنة بتطلع أخبار عن الرابعة وتشوفهم يقولون أثبتت الدراسات أن الجرعة التنشيطية الرابعة تحمي أصحاب الأمراض المزمنة وذوي المناعة الضعيفة 😜 URL,Covid Vaccine,Against,0.5303,A_Explicit,,,Yes,0.5969,Negative,1.0,2021-09-26 11:23:44+00:00,26/09/2021
63,"""استثمر بسهولة"" زاد من توجه المستثمرين للخدمات الالكترونية  بما يسهل حركة السلع الصادرة والواردة من والى السلطنة..   التحول الالكتروني في أي مجال يسهم بلا شك في تطويره وسهولته .. لا بديل عن الحكومة الذكية والتركيز عليها بشكل كبير جداً لمعانقة الطموحات  #عمان_تحتاج_افكاركم URL",Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Neutral,1.0,2021-08-15 02:10:52+00:00,15/08/2021
67, دكتور محمد لماذا لا يتم  تفعيل وسائل الدفع الالكتروني او التحول إلى اقتصاد غير نقدي حاليا يوجد اقتصاديين ظاهر وباطن فإذا لم يسمح بالتعامل بالنقد سوف يصبح الجميع يعملون في نطاق نظام واحد وباذن اذا تم تطبيق التعامل عن طريق الدفع الالكتروني  لجميع ,Digital Transformation,Favor,0.7288,,F_Explicit,,No,1.0,Neutral,0.7228,2020-09-13 18:13:36+00:00,13/09/2020
68,    الله يهدي الجميع اتوقع يقصد جرعة تطعيم كورونا,Covid Vaccine,None,0.5812,,,Not clear,No,1.0,Neutral,0.7127,2022-04-12 22:56:18+00:00,12/04/2022
69,ولله الحمد  أخذنا لقاح فايزر تطعيم 💉 الله ينفع به البلاد والعباد يارب 🤲🏻🙏 شكراً للحكومة 🇸🇦💚 شكراً وزارة الصحة,Covid Vaccine,Favor,1.0,,F_Explicit,,No,1.0,Positive,1.0,2021-04-22 22:02:42+00:00,22/04/2021
70, لن الهدف هو تطعيم اما كورونا ومتحورات وسيله ومبرر لتلقيحك بالغصب,Covid Vaccine,Against,1.0,A_Explicit,,,No,1.0,Negative,1.0,2022-04-08 21:18:07+00:00,08/04/2022
71,     اخوان /يجب التحول الى الدفع الالكتروني في الوزرات الحكومية.   اي عمليه دفع  حتى لو ١٠ دنانير  تروح مباشرة لخزينة الدوله.   هاي الخطوة فقط راح تقطع ٩٠٪ من الفساد و السرقة.   💥حتى لا يصير ارباك و خربطة  ابدأ في وزار,Digital Transformation,Favor,1.0,,F_Explicit,,No,1.0,Positive,0.6678,2022-02-24 07:11:34+00:00,24/02/2022
74,  تبون خلاصة الكلام مع الحريم   ( اجعلوا  تطعيم كورونا شرط لدخول المولات ) وسوف تشوفونهم يتسابقون على التطعيم,Covid Vaccine,Favor,0.8223,,F_Explicit,,Yes,0.854,Neutral,1.0,2021-04-20 13:21:08+00:00,20/04/2021
